rearrangement_ID	rearrangement_type	cell_type	capture_WT_data_archive	capture_Mut_data_archive	capture_WT_data	capture_Mut_data	cite	genome_assembly	chr	start_prediction	end_prediction	start_capture	end_capture	start1	end1	start2	end2	start3	end3	start4	end4	start5	end5	CTCF_data	capture_WT_data_AlenaServer	capture_Mut_data_AlenaServer
Inv1-Mm_2	inversion	Forelimb E11.5	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6024957-SRR6024958-SRR6024959-SRR6024960.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6024979-SRR6024980.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6024957-SRR6024958-SRR6024959-SRR6024960	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6024979-SRR6024980	"Kragesteen  Bjort K.  et al. ""Dynamic 3D chromatin architecture contributes to enhancer specificity and limb morphogenesis."" Nature genetics 50.10 (2018): 1463-1473."	mm10	chr13	53895001	57200000	53895001	57200000	56048376	56160753									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_HL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR6024957-SRR6024958-SRR6024959-SRR6024960/	/storage/hic_data_for_3DBench/SRR6024979-SRR6024980/
Inv1d	inversion	forelimb E11.5	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR7500315.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR7500320.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR7500315	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR7500320	"Kraft  Katerina  et al. ""Serial genomic inversions induce tissue-specific architectural stripes  gene misexpression and congenital malformations."" Nature cell biology 21.3 (2019): 305-310."	mm10	chr1	70945000	81015000	70945000	81015000	75650966	75655176									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR7500315/	/storage/hic_data_for_3DBench/SRR7500320/
Inv2	inversion	forelimb E11.5	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR7500315.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR7500317.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR7500315	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR7500317	"Kraft  Katerina  et al. ""Serial genomic inversions induce tissue-specific architectural stripes  gene misexpression and congenital malformations."" Nature cell biology 21.3 (2019): 305-310."	mm10	chr1	70945000	81015000	70945000	81015000	75135035	75902131									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR7500315/	/storage/hic_data_for_3DBench/SRR7500317/
Inv3	inversion	forelimb E11.5	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR7500315.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR7500318.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR7500315	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR7500318	"Kraft  Katerina  et al. ""Serial genomic inversions induce tissue-specific architectural stripes  gene misexpression and congenital malformations."" Nature cell biology 21.3 (2019): 305-310."	mm10	chr1	70945000	81015000	70945000	81015000	74887741	75902131									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR7500315/	/storage/hic_data_for_3DBench/SRR7500318/
Inv4	inversion	forelimb E11.5	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR7500315.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR7500319.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR7500315	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR7500319	"Kraft  Katerina  et al. ""Serial genomic inversions induce tissue-specific architectural stripes  gene misexpression and congenital malformations."" Nature cell biology 21.3 (2019): 305-310."	mm10	chr1	70945000	81015000	70945000	81015000	7489655	78902131									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR7500315/	/storage/hic_data_for_3DBench/SRR7500319/
InvC	inversion	E12.5 limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179588.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8453396-SRR8453397.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179588	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8453396-SRR8453397	"Franke  Martin  et al. ""Formation of new chromatin domains determines pathogenicity of genomic duplications."" Nature 538.7624 (2016): 265-269."	mm10	chr11	109140001	115015000	109140001	115015000	111522535	112653434									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_E125.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR3179588/	/storage/hic_data_for_3DBench/SRR8453396-SRR8453397/
InvF	inversion	E11.5 distal limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5099908.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5099911.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5099908	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5099911	"Bianco  Simona  et al. ""Polymer physics predicts the effects of structural variants on chromatin architecture."" Nature genetics 50.5 (2018): 662-667."	mm10	chr1	70945000	81010000	70945000	81010000	74786262	75902132									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_HL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR5099908/	/storage/hic_data_for_3DBench/SRR5099911/
InvIntra	inversion	E12.5 limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179588.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8453398-SRR8453399.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179588	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8453398-SRR8453399	"Franke  Martin  et al. ""Formation of new chromatin domains determines pathogenicity of genomic duplications."" Nature 538.7624 (2016): 265-269."	mm10	chr11	109140001	115015000	109140001	115015000	111540879	112653434									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_E125.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR3179588/	/storage/hic_data_for_3DBench/SRR8453398-SRR8453399/
kit30_mast	deletion	mast cells 					unpublished data	mm10	chr5	74130000	76415000	74130000	76415000												/storage/hic_data_for_3DBench/VLA2-VLA5-CapM1-CapM2	/storage/hic_data_for_3DBench/VLA4-VLA6
kit30_mel	deletion	melanocytes					unpublished data	mm10	chr5	74130000	76415000	74130000	76415000												/storage/hic_data_for_3DBench/CapM3-CapM4	/storage/hic_data_for_3DBench/CapM5-CapM6
kit30plus	deletion	mast cells 					unpublished data	mm10	chr5	74130000	76415000	74130000	76415000	75852780	75881218										/storage/hic_data_for_3DBench/VLA2-VLA5-CapM1-CapM2	/storage/hic_data_for_3DBench/VLA7-VLA12
Lprom	deletion	FLHL	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8284500-SRR8284501-SRR8984911.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8284499-SRR8984910.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8284500-SRR8284501-SRR8984911	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8284499-SRR8984910	"Paliou  Christina  et al. ""Preformed chromatin topology assists transcriptional robustness of Shh during limb development."" Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399."	mm10	chr5	27460000	30345000	27460000	30345000											https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FLHL-E105.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR8284500-SRR8284501-SRR8984911/	/storage/hic_data_for_3DBench/SRR8284499-SRR8984910/
MusDelB	deletion	E11.5 distal limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5099908.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5099909.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5099908	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5099909	"Bianco  Simona  et al. ""Polymer physics predicts the effects of structural variants on chromatin architecture."" Nature genetics 50.5 (2018): 662-667."	mm10	chr1	70945000	81010000	70945000	81010000	76395828	78067689									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_HL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR5099908/	/storage/hic_data_for_3DBench/SRR5099909/
Neur1-Mm	deletion	Forelimb E11.5	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6024957-SRR6024958-SRR6024959-SRR6024960.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6024987-SRR6024988.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6024957-SRR6024958-SRR6024959-SRR6024960	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6024987-SRR6024988	"Kragesteen  Bjort K.  et al. ""Dynamic 3D chromatin architecture contributes to enhancer specificity and limb morphogenesis."" Nature genetics 50.10 (2018): 1463-1473."	mm10	chr13	53895001	57200000	53895001	57200000	56219601	56264136									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR6024957-SRR6024958-SRR6024959-SRR6024960/	/storage/hic_data_for_3DBench/SRR6024987-SRR6024988/
Pdgfra_KO_fibr	deletion	fibroblasts					unpublished data	mm10	chr5	74150000	76400000	74150000	76400000												/storage/hic_data_for_3DBench/CapF1-CapF2	/storage/hic_data_for_3DBench/CapF3-CapF4
Pdgfra_KO_mast	deletion	mast cells 					unpublished data	mm10	chr5	74130000	76415000	74130000	76415000												/storage/hic_data_for_3DBench/VLA2-VLA5-CapM1-CapM2	/storage/hic_data_for_3DBench/VLA16-VLA19
Pdgfra_left	deletion	fibroblasts					unpublished data	mm10	chr5	74150000	76400000	74150000	76400000												/storage/hic_data_for_3DBench/CapF1-CapF2	/storage/hic_data_for_3DBench/CapF5-CapF6
ZRSreg	deletion	FLHL	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8284500-SRR8284501-SRR8984911.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8984912.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8284500-SRR8284501-SRR8984911	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8984912	"Paliou  Christina  et al. ""Preformed chromatin topology assists transcriptional robustness of Shh during limb development."" Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399."	mm10	chr5	27460000	30345000	27460000	30345000	29314818	29315227									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FLHL-E105.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR8284500-SRR8284501-SRR8984911/	/storage/hic_data_for_3DBench/SRR8984912/
